task_type,task_id,method,model,tools_correct,arguments_correct,tools_efficient,answer_efficient,correct,efficient,error,runtime_seconds,input_tokens,output_tokens,total_tokens
Direkte Datenabfrage,1,deterministic,qwen3:8b,1,1,1,1,1,1,,22.775164299999233,3572,1299,4871
Direkte Datenabfrage,1,deterministic,qwen3:30b,1,1,1,1,1,1,,11.542764899997564,3572,1054,4626
Direkte Datenabfrage,1,deterministic,gpt-5.4-mini,1,1,1,1,1,1,,1.7244664000027115,3128,68,3196
Direkte Datenabfrage,1,plan-based,qwen3:8b,1,1,1,1,1,1,,15.319668299998739,4974,940,5914
Direkte Datenabfrage,1,plan-based,qwen3:30b,1,1,1,1,1,1,,11.839646600004926,4974,994,5968
Direkte Datenabfrage,1,plan-based,gpt-5.4-mini,0,0,0,0,0,0,,2.0950063000054797,4369,84,4453
Direkte Datenabfrage,1,iterative,qwen3:8b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,1,iterative,qwen3:30b,1,1,1,1,1,1,,23.05,5396,1245,6641
Direkte Datenabfrage,1,iterative,gpt-5.4-mini,1,1,1,1,1,1,,1.985,4736,118,4854
Direkte Datenabfrage,2,deterministic,qwen3:8b,1,1,1,1,1,1,,11.095906200000172,3577,699,4276
Direkte Datenabfrage,2,deterministic,qwen3:30b,1,1,1,1,1,1,,12.294464299993706,3577,1332,4909
Direkte Datenabfrage,2,deterministic,gpt-5.4-mini,1,1,1,1,1,1,,2.314429999998538,3131,61,3192
Direkte Datenabfrage,2,plan-based,qwen3:8b,1,1,1,1,1,1,,11.188433900000746,4979,704,5683
Direkte Datenabfrage,2,plan-based,qwen3:30b,1,1,1,1,1,1,,10.620307400000456,4979,1066,6045
Direkte Datenabfrage,2,plan-based,gpt-5.4-mini,1,1,1,1,1,1,,1.87311580000096,4372,97,4469
Direkte Datenabfrage,2,iterative,qwen3:8b,1,1,1,1,1,1,,10.779,5401,605,6006
Direkte Datenabfrage,2,iterative,qwen3:30b,1,1,1,1,1,1,,10.851,5401,1066,6467
Direkte Datenabfrage,2,iterative,gpt-5.4-mini,1,1,1,1,1,1,,1.981,4739,113,4852
Direkte Datenabfrage,3,deterministic,qwen3:8b,1,1,1,1,1,1,,6.354030499998771,3581,275,3856
Direkte Datenabfrage,3,deterministic,qwen3:30b,1,1,1,1,1,1,,6.044615999999223,3581,421,4002
Direkte Datenabfrage,3,deterministic,gpt-5.4-mini,1,1,1,1,1,1,,1.5746729000020423,3135,28,3163
Direkte Datenabfrage,3,plan-based,qwen3:8b,1,1,1,1,1,1,,6.907933799999228,4983,332,5315
Direkte Datenabfrage,3,plan-based,qwen3:30b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,3,plan-based,gpt-5.4-mini,1,1,1,1,1,1,,1.9619787999981781,4376,75,4451
Direkte Datenabfrage,3,iterative,qwen3:8b,1,1,1,1,1,1,,12.087,10878,477,11355
Direkte Datenabfrage,3,iterative,qwen3:30b,1,1,1,1,1,1,,11.779,10878,687,11565
Direkte Datenabfrage,3,iterative,gpt-5.4-mini,1,1,1,1,1,1,,1.777,4743,67,4810
Direkte Datenabfrage,4,deterministic,qwen3:8b,0,0,0,0,0,0,,12.703122400000211,3574,862,4436
Direkte Datenabfrage,4,deterministic,qwen3:30b,1,1,1,1,1,1,,6.028310599998804,3574,428,4002
Direkte Datenabfrage,4,deterministic,gpt-5.4-mini,1,1,0,0,1,0,,1.739161099998455,3130,71,3201
Direkte Datenabfrage,4,plan-based,qwen3:8b,1,1,1,1,1,1,,5.733499699999811,4976,217,5193
Direkte Datenabfrage,4,plan-based,qwen3:30b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,4,plan-based,gpt-5.4-mini,1,1,1,1,1,1,,1.8205711000045994,4371,77,4448
Direkte Datenabfrage,4,iterative,qwen3:8b,1,1,1,1,1,1,,10.698,10864,328,11192
Direkte Datenabfrage,4,iterative,qwen3:30b,1,1,1,1,1,1,,15.907,10863,1217,12080
Direkte Datenabfrage,4,iterative,gpt-5.4-mini,1,1,1,1,1,1,,2.122,4738,94,4832
Direkte Datenabfrage,5,deterministic,qwen3:8b,1,1,1,1,1,1,,7.665012600000409,3576,404,3980
Direkte Datenabfrage,5,deterministic,qwen3:30b,1,1,1,1,1,1,,5.355951899997308,3576,319,3895
Direkte Datenabfrage,5,deterministic,gpt-5.4-mini,1,1,1,1,1,1,,1.7245067999974708,3132,28,3160
Direkte Datenabfrage,5,plan-based,qwen3:8b,1,1,1,1,1,1,,5.64536009999938,4978,217,5195
Direkte Datenabfrage,5,plan-based,qwen3:30b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,5,plan-based,gpt-5.4-mini,1,1,1,1,1,1,,1.765155400004005,4373,80,4453
Direkte Datenabfrage,5,iterative,qwen3:8b,1,1,1,1,1,1,,11.045,10868,366,11234
Direkte Datenabfrage,5,iterative,qwen3:30b,1,1,1,1,1,1,,12.367,10868,759,11627
Direkte Datenabfrage,5,iterative,gpt-5.4-mini,1,1,1,1,1,1,,3.695,9549,70,9619
Direkte Datenabfrage,6,deterministic,qwen3:8b,1,1,1,1,1,1,,5.734996600000159,3577,226,3803
Direkte Datenabfrage,6,deterministic,qwen3:30b,1,1,1,1,1,1,,5.708141700000851,3577,384,3961
Direkte Datenabfrage,6,deterministic,gpt-5.4-mini,1,1,1,1,1,1,,1.4654267000005348,3133,28,3161
Direkte Datenabfrage,6,plan-based,qwen3:8b,1,1,1,1,1,1,,6.0447107999989385,4979,259,5238
Direkte Datenabfrage,6,plan-based,qwen3:30b,0,0,0,0,0,0,timeout,,,,
Direkte Datenabfrage,6,plan-based,gpt-5.4-mini,1,1,1,1,1,1,,1.7837963999991189,4374,83,4457
Direkte Datenabfrage,6,iterative,qwen3:8b,1,1,1,1,1,1,,12.74,10870,497,11367
Direkte Datenabfrage,6,iterative,qwen3:30b,1,1,1,1,1,1,,13.002,10870,832,11702
Direkte Datenabfrage,6,iterative,gpt-5.4-mini,0,0,0,0,0,0,,2.042,4741,68,4809
Direkte Datenabfrage,7,deterministic,qwen3:8b,1,1,1,1,1,1,,15.684384800000771,3573,1144,4717
Direkte Datenabfrage,7,deterministic,qwen3:30b,1,1,1,1,1,1,,12.767268200004764,3573,1446,5019
Direkte Datenabfrage,7,deterministic,gpt-5.4-mini,0,0,0,0,0,0,,1.7270939999943948,3129,28,3157
Direkte Datenabfrage,7,plan-based,qwen3:8b,1,1,1,1,1,1,,8.730979100000695,4975,496,5471
Direkte Datenabfrage,7,plan-based,qwen3:30b,1,1,1,1,1,1,,10.728310400001646,4975,1091,6066
Direkte Datenabfrage,7,plan-based,gpt-5.4-mini,0,0,0,0,0,0,,1.8440627999952994,4370,119,4489
Direkte Datenabfrage,7,iterative,qwen3:8b,0,0,0,0,0,0,timeout,,,,
