ID;Aufgabentyp;Tehma;Aufgabe;Notiz;
1;Direkte Datenabfrage;PF;Was ist mein Teilnamefaktor?;mp?;
2;Direkte Datenabfrage;PF;Was ist mein Teilnamefaktor von meinem Verbrauch?;mp?;
3;Direkte Datenabfrage;PF;Was ist mein Teilnamefaktor von meinem Erzeugerzählpunkt?;mp3;
4;Direkte Datenabfrage;PF;Was ist mein Teilnamefaktor von mp1;ohne _;
5;Direkte Datenabfrage;PF;Gib mir den Teilnamefaktor von mp_2;;
6;Direkte Datenabfrage;PF;Welchen Teilnamefaktor habe ich bei mp_3?;;
7;Direkte Datenabfrage;PF;Welchen Teilnamefaktor habe ich?;mp?;
8;Direkte Datenabfrage;PF;Teilnamefaktor mp1?;;
9;Direkte Datenabfrage;PF;Wie viel nehme ich mit mp_2 an der Energiegemeinschaft teil?;;
10;Direkte Datenabfrage;PF;Gib mir den Teilnamefaktor aller meiner Verbraucherzählpunkte.;;
11;Direkte Datenabfrage;kW;Wie viel verbrauche ich gerade?;mp3;
12;Direkte Datenabfrage;kW;Wie viel verbraucht mp_1 gerade?;kein Verbraucherzählpunkt;
13;Direkte Datenabfrage;kW;Wie viel verbraucht mp2 gerade?;kein Erzeugerzählpunkt;
14;Direkte Datenabfrage;kW;Wie viel erzeugt mp_3 gerade?;;
15;Direkte Datenabfrage;kW;Wie viel erzeuge ich gerade?;;
16;Direkte Datenabfrage;kW;Wie viel verbraucht mp_3 gerade?;;
17;Direkte Datenabfrage;kW;Wie viel erzeugt mp_1 gerade?;;
18;Direkte Datenabfrage;kW;Gib mir den aktuellen Verbrauch aller meine Verbraucherzählpunkte.;;
19;Direkte Datenabfrage;kW;Wie viel ezeugt mp_1 jetzt gerade?;kein Erzeugerzählpunkt;
20;Direkte Datenabfrage;kW;Was viel verbraucht mein Zählpunkt mp_3 gerade?;kein Verbraucherzählpunkt;
21;Direkte Datenabfrage;kombinationen;Wie hoch ist mein Verbrauch gerade und was ist mein Teilnamefaktor?;mp unklar;
22;Direkte Datenabfrage;kombinationen;Wie hoch ist mein Verbrauch von mp_1 und wie ich ist mein Teilnamefaktor?;;
23;Direkte Datenabfrage;kombinationen;Wie viel produziere ich gerade und wie hoch ist der Teilnamefaktor des Erzeugerzählpunktes?;;
24;Direkte Datenabfrage;kombinationen;Welche Zählpunkte habe ich und was verbrauchen diese aktuell jeweils?;;
25;Direkte Datenabfrage;kombinationen;Gib mir alle meine Zählpunkte und deren Teilnamefaktoren.;;
26;Direkte Datenabfrage;ungedeckt;Wie viel kostet der Strom aktuell?;;
27;Direkte Datenabfrage;ungedeckt;Wie viel bekomme ich vür meinen erzeugten Strom?;;
28;Direkte Datenabfrage;ungedeckt;Wie wird das Wetter morgen?;;
29;Direkte Datenabfrage;ungedeckt;Was kostet eine PV-Anlage?;;
30;Direkte Datenabfrage;ungedeckt;Ich bin unzufrieden mit meinem Energieanbieter.;;
31;Einzelquellenverarbeitung;MG_eg;Generiere mir eine Grafik vom Verbrauch meiner Energiegemeinschaft.;Zeitraum?;
32;Einzelquellenverarbeitung;MG_eg;Generiere mir eine Grafik vom Verbrauch meiner Energiegemeinschaft letzten Monat.;;
33;Einzelquellenverarbeitung;MC_eg;Zeit mir die Erzeugung meiner Energiegemeinschaft über das letzte Jahr.;;
34;Einzelquellenverarbeitung;MC_eg;Zeig mir die Erzeugung meiner Energiegemeinschaft.;Zeitraum?;
35;Einzelquellenverarbeitung;MC;Zeige mir meinen Verbrauch über die letzten drei Monate.;Zeitraum?;
36;Einzelquellenverarbeitung;MC;Zeige mir meinen Verbrauch von mp_1 über die letzten drei Monate.;;
37;Einzelquellenverarbeitung;MC;Wie ist meine Verbrauch über letzte 12 Monate?;;
38;Einzelquellenverarbeitung;MG;Ich möchte meine Erzeugung über die letzte Woche über sehen.;;
39;Einzelquellenverarbeitung;MG;Ich wüsste sehr gerne wie viel mp_2 gestern verbraucht hat.;keine Daten;
40;Einzelquellenverarbeitung;MG;Hallo, ich würde gerne meine Erzeugung über das letzte Jahr sehen.;mp_3;
41;Einzelquellenverarbeitung;sum;Wie ist mein gesamtverbrauch über die letzten 2 Monate?;mp?;
42;Einzelquellenverarbeitung;sum;Wie ist mein Gesamtverbrauch von mp_1 über die letzten 2 Monate?;;
43;Einzelquellenverarbeitung;sum;Wie viel hat meine Energiegmeinschaft ingesamt verbraucht im letzten Jahr?;;
44;Einzelquellenverarbeitung;sum;Wie viel hat meine Energiegemeinschaft letztes Jahr insgesamt erzeugt?;;
45;Einzelquellenverarbeitung;avg;Wie war der durchschnittliche Verbrauch meiner Energiegemeinschaft letztes Jahr?;;
46;Einzelquellenverarbeitung;avg;Wie hoch war die durchschnittliche Produktion meiner Energiegemeinschaft letztes Jahr?;;
47;Einzelquellenverarbeitung;avg;Berechne mir meinen Durchschnittsverbrauch über das letzte Jahr.;;
48;Einzelquellenverarbeitung;avg;Wie hoch ist war der Durchschnittsverbrauch von mp_1 letzte Woche?;;
49;Einzelquellenverarbeitung;min;Was war der niedrigste Verbrauch meiner gesamten Energiegemeinschaft letztes Jahr?;;
50;Einzelquellenverarbeitung;min;Was war der niedrigste Verbrauch meines Zählpunktes letztes Jahr?;Zmp?;
51;Einzelquellenverarbeitung;min;Was war der niedrigste Verbrauch von mp_1 letztes Jahr?;;
52;Einzelquellenverarbeitung;min;Gib mir den Minimalverbrauch meines Zählpunktes mp_2.;Zeitraum?;
53;Einzelquellenverarbeitung;max;Wie hoch war der maximale Verbrauch meiner gesamten Energiegemeinschaft letztes Jahr?;;
54;Einzelquellenverarbeitung;max;Was ist die maximale Erzeugung meines Erzeugerzählpunktes letztes Jahr?;;
55;Einzelquellenverarbeitung;max;Was habe ich maximal mit mp_3 produziert über das letzte Monat?;;
